clean_question,clean_answer
hormonal birth control affect period,may cause lighter flow spotting skipped cycle copper iud might increase cramping report severe change healthcare provider
stress affect menstrual cycle,yes stress disrupt hormone balance leading irregular missed period
female genital mutilation fgm,fgm involves partial total removal external female genitalia non medical reason cause severe health consequence violates human right
service included reproductive health,service include family planning prenatal care sti testing menstrual health education counseling
reproductive autonomy,right make decision one reproductive life without coercion barrier
masturbation healthy,yes normal safe sexual activity mental physical health benefit
often change pad tampon,every 4 8 hour often heavy flow
sign healthy menstrual cycle,regular cycle lasting 21 35 day consistent flow manageable cramp sign healthy cycle
sign yeast infection,itching thick white discharge irritation common symptom
endometriosis affect fertility,yes tissue growth outside uterus cause scarring block fallopian tube early management improves fertility outcome
sti contact tracing,notifying sexual partner potential sti exposure get tested treated
men infertile,yes male infertility result low sperm count poor motility blockage
okay refuse early marriage,yes right choose marry
get involved srhr activism,join community group attend workshop participate campaign like organized ashletechconnect girl
stis,stis sexually transmitted infection infection passed sexual contact example include hiv chlamydia gonorrhea syphilis
sexual harassment,unwelcome sexual advance comment action violate someone dignity
infertility,inability conceive 12 month regular unprotected sex
prevent stis,using condom regular testing reducing number sexual partner help prevent stis
role peer educator,provide srhr information support community relatable way
gender identity,person internal sense male female neither something else
puberty suppression,medical intervention delay puberty often used transgender youth medical guidance
ask doctor anything srhr,yes doctor trained answer question without judgment maintain confidentiality
sign toxic relationship,control manipulation disrespect lack trust common indicator
bodily autonomy,bodily autonomy mean right make decision body without coercion external pressure includes decision related sexual activity contraception reproductive health
parent talk teen srhr,start early honest use correct term create safe space open dialogue
contraceptive implant,small rod inserted skin releasing hormone prevent pregnancy 3 5 year
gender based violence,gender based violence includes harm inflicted based gender including sexual assault domestic violence harassment
transgender individual access srhr service,yes individual deserve srhr care regardless gender identity inclusive service include hormone therapy sexual health screening reproductive counseling trained provider
hiv affect pregnancy,treatment woman living hiv healthy pregnancy reduce transmission risk baby
contraception cause weight gain,people may gain weight hormonal birth control though research show mixed result
get pregnant period,yes though rare possible due sperm lifespan cycle variation
menopause,natural biological process marking end menstruation typically occurring age 45 55
effect early marriage girl,early marriage lead health risk limited education reduced opportunity often violates girl right
ovulation,release egg ovary usually around middle menstrual cycle
prep,prep pre exposure prophylaxis daily pill reduces risk hiv infection
find mental health support,access support counselor srhr organization school psychologist helplines
get srhr service without insurance,yes many clinic ngo offer low cost free service
natural birth control method,yes method like withdrawal fertility awareness breastfeeding lam used though effectiveness varies
birth control regulate acne,yes hormonal contraceptive reduce acne balancing hormone
pap smear,screening test check precancerous cancerous cell cervix
minor need parental consent contraception,law vary country many region allow confidential access contraception adolescent youth friendly clinic
people disability access srhr,yes equal right accessible respectful srhr service
srhr service confidential,yes many provider offer confidential service especially youth vulnerable group
say even agreed,yes consent withdrawn point right stop activity uncomfortable
violence survivor get help,contact rainn rainn org local hotlines shelter ngo provide counseling legal aid safety planning
gender equality srhr,ensuring people equal right access sexual reproductive health service
emergency contraception,emergency contraception morning pill prevents pregnancy unprotected sex work best within 72 hour available pharmacy without prescription many region
alcohol affect sexual health,impairs judgment increase risk unprotected sex assault
track menstrual symptom,use apps journal record cycle length flow intensity pain level emotional change pattern help identify irregularity medical consultation
healthy relationship look like,respect communication consent equality support key component
sign healthy pregnancy,common sign include regular fetal movement appropriate weight gain absence severe pain bleeding
often get tested stis,sexually active individual test annually frequently higher risk
contraceptive,contraceptive method used prevent pregnancy include pill condom iud injection implant
safe sex menstruation,yes partner comfortable use protection prevent stis
sign puberty,change include breast development body hair growth voice change onset menstruation ejaculation
adolescent access srhr service alone,many country yes adolescent friendly service aim ensure confidentiality accessibility
comprehensive sexuality education,evidence based curriculum covering anatomy consent contraception healthy relationship proven reduce stis unintended pregnancy
untreated stis cause infertility,yes chlamydia gonorrhea may lead pelvic inflammatory disease pid causing tubal blockage early treatment prevents complication
dispose menstrual product,wrap toilet paper packaging place trash bin avoid flushing pad tampon
use condom birth control pill together,yes using provides extra protection pregnancy stis
postnatal care,medical support childbirth ensuring health mother newborn including emotional well
men access srhr service,yes men access service like sti testing contraception counseling fertility assessment
cervical cancer screening,test like pap smear hpv test detect abnormal cervical cell early
srhr service lgbtq people,yes inclusive care meet specific need lgbtq individual
inclusive srhr mean,ensures service respectful accessible affirming identity background
sexual consent,sexual consent clear voluntary agreement engage sexual activity must informed freely given withdrawn time
experience sexual abuse,seek immediate help trusted adult organization contact authority medical professional ensure safety health
handle peer pressure around sex,know boundary practice saying surround respectful peer
manage menstrual pain,manage menstrual pain counter medication heating pad hydration rest severe pain checked healthcare provider
know right campaign,campaign led ashletechconnect srhr raise awareness young woman srhr education advocacy
pcos,polycystic ovary syndrome pcos hormonal disorder affect ovulation fertility symptom include irregular period acne weight gain
role midwife,midwife assist pregnancy childbirth postpartum care offering medical emotional support
age affect fertility,fertility typically decline age especially 35 woman 40 men
contraceptive safe young woman,yes contraceptive safe young woman best consult healthcare provider suitable option
talk partner stis,honest choose calm setting suggest testing together mutual health
get pregnant stopping birth control,yes fertility usually return quickly stopping method
emergency contraception time limit,work best within 72 hour type effective 5 day sex
reproductive coercion,manipulating someone reproductive choice like sabotaging birth control pressuring pregnancy
safe abortion method,medical surgical option performed trained provider safely end pregnancy
sexual consent age,legal age person agree sexual activity varies country
menstrual hygiene product,product include pad tampon menstrual cup period underwear reusable cloth pad
reproductive anatomy,physical structure involved reproduction including uterus ovary penis testis
stage menstrual cycle,menstruation follicular phase ovulation luteal phase regulated hormone
clitoris,highly sensitive organ play key role female sexual pleasure
contraceptive patch,skin patch release hormone prevent pregnancy changed weekly
sexual activity affect mental health,yes positive sexual experience improve well negative one may cause distress
period irregularity normal,occasional irregularity common persistent change checked doctor
fertility awareness method,include tracking ovulation cervical mucus basal temperature avoid achieve pregnancy naturally
difference gynecologist obstetrician,gynecologist specialize female reproductive health obstetrician manage pregnancy childbirth
ectopic pregnancy,pregnancy occurring outside uterus often fallopian tube medical emergency
hpv,human papillomavirus common sti strain cause cervical cancer
men get hpv,yes hpv affect gender may cause genital wart cancer
vasectomy,permanent male birth control method involving cutting sealing sperm carrying tube
emergency contraception effectiveness,effective within 24 hour unprotected sex work 72 120 hour
breastfeeding prevent pregnancy,exclusively breastfeeding delay ovulation 6 month method known lam
prenatal care,medical checkup pregnancy monitoring fetal development nutrition potential complication early care reduces risk like preterm birth
lgbtiq,acronym lesbian gay bisexual transgender intersex queer questioning others
support partner period,understanding offer comfort ask need whether space snack emotional support
get birth control without parental permission,many country yes especially youth friendly confidential clinic
gender dysphoria,distress caused mismatch person gender identity assigned sex birth
report srhr right violation,document incident contact national human right commission woman right group un mechanism like cedaw
pregnancy option,option include parenting adoption abortion consult healthcare provider discus path confidentially non judgmental counseling
erectile dysfunction,inability get maintain erection suitable intercourse often treatable
sti test done home,yes home testing kit available stis sample mailed lab
bodily autonomy important young woman,empowers young woman make informed decision health help prevent abuse promotes equality self confidence
know pregnant,symptom include missed period nausea fatigue home pregnancy test confirm
mental health relate srhr,mental health essential making informed srhr decision srhr issue like abuse discrimination affect mental well
menstruation,menstruation monthly shedding uterine lining individual uterus normal healthy part reproductive cycle
reproductive justice,reproductive justice combine reproductive right social justice addressing factor like race income location affect access healthcare emphasizes right child child parent safely
intersex people,individual born reproductive sexual anatomy fit typical definition male female
miscarriage,spontaneous loss pregnancy 20 week often due genetic health issue
hymen,thin membrane vaginal opening often misunderstood indicator virginity
fibroid,noncancerous growth uterus cause pain heavy bleeding fertility issue
period pain normal,mild cramp normal severe disabling pain evaluated
menstrual cycle,monthly hormonal cycle people ovary involving ovulation menstruation
pelvic exam,physical exam reproductive organ often part routine check ups symptom arise
difference sex gender,sex refers biological trait gender social identity construct
reproductive health education important,help individual make informed decision promotes health prevents risky behavior
common symptom stis,symptom include unusual discharge sore itching pain urination sex stis asymptomatic
sex education affect behavior,comprehensive sex ed linked delayed sexual activity increased contraceptive use
sexual harassment school normal,sexual harassment violation right right safe learning environment
side effect condom,may experience latex allergy irritation alternative include non latex condom
okay want child,yes choosing child valid personal decision
